to Latitude,to Longitude,Zone,Easting,Northing,Zone Northing Easting Interpreted
35.1287918,-80.6845775,3200,1496345.922,506074.6226,3200 506074.6226UsFtN 1496345.922UsFtE
35.2280834,-80.8272192,3200,1454368.71,542959.2309,3200 542959.2309UsFtN 1454368.71UsFtE
35.2102259,-80.8328005,3200,1452582.271,536491.9297,3200 536491.9297UsFtN 1452582.271UsFtE
35.2027345,-80.9016857,3200,1431958.001,534153.0001,3200 534153.0001UsFtN 1431958.001UsFtE
35.2223834,-80.5953484,3200,1523568.607,539691.4101,3200 539691.4101UsFtN 1523568.607UsFtE
35.1179094,-80.7428787,3200,1478847.283,502415.5918,3200 502415.5918UsFtN 1478847.283UsFtE
35.0981079,-80.724633,3200,1484177.349,495114.8623,3200 495114.8623UsFtN 1484177.349UsFtE
35.2172431,-80.8255078,3200,1454807.168,539005.2424,3200 539005.2424UsFtN 1454807.168UsFtE
35.0761418,-80.9000477,3200,1431565.441,488079.8865,3200 488079.8865UsFtN 1431565.441UsFtE
35.1150939,-80.7234999,3200,1484623.541,501289.9199,3200 501289.9199UsFtN 1484623.541UsFtE
35.3190257,-80.7689837,3200,1472346.5,575737.2443,3200 575737.2443UsFtN 1472346.5UsFtE
35.2231089,-80.7925008,3200,1464702.253,540960.0927,3200 540960.0927UsFtN 1464702.253UsFtE
35.2155153,-80.9879131,3200,1406298.001,539308.1399,3200 539308.1399UsFtN 1406298.001UsFtE
35.1321878,-80.7067181,3200,1489748.233,507423.4574,3200 507423.4574UsFtN 1489748.233UsFtE
35.1250145,-80.7206465,3200,1485539.268,504885.0689,3200 504885.0689UsFtN 1485539.268UsFtE
35.189731,-80.6559694,3200,1505268.292,528105.9026,3200 528105.9026UsFtN 1505268.292UsFtE
35.2192338,-80.8285707,3200,1453905.874,539746.4418,3200 539746.4418UsFtN 1453905.874UsFtE
35.2454184,-80.7171564,3200,1487340.645,548680.5561,3200 548680.5561UsFtN 1487340.645UsFtE
35.2461315,-81.0051,3200,1401390.763,550551.7075,3200 550551.7075UsFtN 1401390.763UsFtE
35.3089078,-80.7774045,3200,1469769.082,572100.2866,3200 572100.2866UsFtN 1469769.082UsFtE
35.0853585,-81.0166118,3200,1396765.933,492121.432,3200 492121.432UsFtN 1396765.933UsFtE
35.1203217,-80.7331769,3200,1481763.333,503242.6049,3200 503242.6049UsFtN 1481763.333UsFtE
35.3666027,-80.8530906,3200,1447585.101,593507.6571,3200 593507.6571UsFtN 1447585.101UsFtE
35.0786683,-80.8926251,3200,1433803.316,488956.7933,3200 488956.7933UsFtN 1433803.316UsFtE
35.4968754,-80.8301064,3200,1455310.084,640786.4289,3200 640786.4289UsFtN 1455310.084UsFtE
35.1133404,-80.7220836,3200,1485035.915,500644.5184,3200 500644.5184UsFtN 1485035.915UsFtE
35.0856551,-80.8945633,3200,1433272.076,491510.1477,3200 491510.1477UsFtN 1433272.076UsFtE
35.2524425,-80.8411604,3200,1450370.587,551900.0398,3200 551900.0398UsFtN 1450370.587UsFtE
35.1959059,-80.7247901,3200,1484748.746,530702.9793,3200 530702.9793UsFtN 1484748.746UsFtE
35.3579569,-80.8227031,3200,1456584.958,590193.8029,3200 590193.8029UsFtN 1456584.958UsFtE
35.0607283,-80.8264816,3200,1453468.38,482058.1875,3200 482058.1875UsFtN 1453468.38UsFtE
35.435819,-80.9043596,3200,1432786.65,618983.9881,3200 618983.9881UsFtN 1432786.65UsFtE
35.2279859,-80.8695656,3200,1441724.342,543159.2186,3200 543159.2186UsFtN 1441724.342UsFtE
35.4872853,-80.7904652,3200,1467044.126,637081.3759,3200 637081.3759UsFtN 1467044.126UsFtE
35.2849991,-80.8188122,3200,1457258.371,563623.9445,3200 563623.9445UsFtN 1457258.371UsFtE
35.401319,-80.9245027,3200,1426544.381,606545.5214,3200 606545.5214UsFtN 1426544.381UsFtE
35.1911534,-80.7500449,3200,1477174.592,529105.6791,3200 529105.6791UsFtN 1477174.592UsFtE
35.315975,-80.9441503,3200,1420082.321,575604.3038,3200 575604.3038UsFtN 1420082.321UsFtE
35.271462,-81.0020651,3200,1402482.619,559750.5007,3200 559750.5007UsFtN 1402482.619UsFtE
35.4482098,-80.7901265,3200,1466888.484,622859.8956,3200 622859.8956UsFtN 1466888.484UsFtE
35.3057738,-80.9398366,3200,1421296.362,571867.1364,3200 571867.1364UsFtN 1421296.362UsFtE
35.3721901,-80.9733991,3200,1411765.583,596232.0576,3200 596232.0576UsFtN 1411765.583UsFtE
35.0673633,-80.7286486,3200,1482781.59,483948.3282,3200 483948.3282UsFtN 1482781.59UsFtE
35.180971,-80.8712572,3200,1440896.75,526061.0002,3200 526061.0002UsFtN 1440896.75UsFtE
35.2373967,-80.8152964,3200,1457990.582,546282.8773,3200 546282.8773UsFtN 1457990.582UsFtE
